From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
Q15256	Q15256	reviewed	PTPRR_HUMAN	Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Ch-1PTPase) (NC-PTPCOM1) (Protein-tyrosine phosphatase PCPTP1)	PTPRR ECPTP PTPRQ	Homo sapiens (Human)	657	GO:0001701; GO:0004725; GO:0005001; GO:0005615; GO:0005829; GO:0005886; GO:0006470; GO:0007165; GO:0010633; GO:0019901; GO:0030054; GO:0035335; GO:0038128; GO:0048471; GO:0070373
Q5MNV8	Q5MNV8	reviewed	FBX47_HUMAN	F-box only protein 47	FBXO47	Homo sapiens (Human)	452	
Q566Y1	Q566Y1	reviewed	ELP4_DANRE	Elongator complex protein 4 (ELP4)	elp4 si:dkey-157g7.1 zgc:112389	Danio rerio (Zebrafish) (Brachydanio rerio)	397	GO:0002098; GO:0005737; GO:0006357; GO:0008023; GO:0008607; GO:0033588
P56941	P56941	reviewed	NPC1_PIG	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	Sus scrofa (Pig)	1277	GO:0005319; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005886; GO:0006486; GO:0007041; GO:0008203; GO:0008206; GO:0015485; GO:0030299; GO:0030301; GO:0031902; GO:0032367; GO:0042632; GO:0048471; GO:1904262
O15118	O15118	reviewed	NPC1_HUMAN	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	Homo sapiens (Human)	1278	GO:0001618; GO:0001889; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0009410; GO:0010467; GO:0010878; GO:0012501; GO:0015248; GO:0015485; GO:0016020; GO:0016236; GO:0016242; GO:0022008; GO:0030299; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0033344; GO:0038023; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1904262; GO:2000900
Q9UBV8	Q9UBV8	reviewed	PEF1_HUMAN	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284	GO:0003723; GO:0005509; GO:0005737; GO:0005783; GO:0006888; GO:0014029; GO:0014032; GO:0030127; GO:0031463; GO:0042802; GO:0046982; GO:0046983; GO:0048208; GO:0048306; GO:0051592; GO:0070062; GO:1902527; GO:1990756
O18971	O18971	reviewed	PPARG_BOVIN	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Bos taurus (Bovine)	505	GO:0000122; GO:0000976; GO:0000978; GO:0003677; GO:0003682; GO:0003700; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006357; GO:0008270; GO:0009755; GO:0010742; GO:0019216; GO:0030154; GO:0030855; GO:0032869; GO:0042752; GO:0045165; GO:0045598; GO:0045892; GO:0045893; GO:0045944; GO:0048384; GO:0048511; GO:0050728; GO:0070888
P20735	P20735	reviewed	GGT1_PIG	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	GGT1 GGT	Sus scrofa (Pig)	568	GO:0002682; GO:0002951; GO:0005886; GO:0006536; GO:0006750; GO:0006751; GO:0031179; GO:0031638; GO:0036374; GO:0050727; GO:0102953; GO:0103068
P17972	P17972	reviewed	KCNAW_DROME	Potassium voltage-gated channel protein Shaw (Shaw2)	Shaw SHAW2 CG2822	Drosophila melanogaster (Fruit fly)	498	GO:0005249; GO:0005251; GO:0005886; GO:0006813; GO:0008076; GO:0022843; GO:0030424; GO:0030431; GO:0032590; GO:0032809; GO:0034765; GO:0051260; GO:0071805
Q38PU2	Q38PU2	reviewed	GRIK3_MACFA	Glutamate receptor ionotropic, kainate 3 (GluK3) (Glutamate receptor 7) (GluR-7) (GluR7)	GRIK3 GLUR7	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	919	GO:0001640; GO:0004970; GO:0007216; GO:0015277; GO:0043197; GO:0045211; GO:0098978; GO:0099507
Q13002	Q13002	reviewed	GRIK2_HUMAN	Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)	GRIK2 GLUR6	Homo sapiens (Human)	908	GO:0001662; GO:0005234; GO:0005886; GO:0006874; GO:0007215; GO:0007268; GO:0015277; GO:0019228; GO:0032983; GO:0035249; GO:0042734; GO:0043025; GO:0043524; GO:0048169; GO:0048172; GO:0050804; GO:0050806; GO:0051402; GO:0051967; GO:0060080; GO:0097471; GO:0098686; GO:0098839; GO:0098978; GO:0099171; GO:0099507; GO:0120169; GO:1904315
Q80TY5	Q80TY5	reviewed	VP13B_MOUSE	Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1 homolog) (Vacuolar protein sorting-associated protein 13B)	Vps13b Coh1 Kiaa0532	Mus musculus (Mouse)	3993	GO:0000139; GO:0001675; GO:0002080; GO:0005765; GO:0006869; GO:0007030; GO:0007399; GO:0007417; GO:0016192; GO:0031901; GO:0032266; GO:0032458; GO:0032588; GO:0033106; GO:0033116; GO:0036438; GO:0055038; GO:0060612; GO:0090168
P53621	P53621	reviewed	COPA_HUMAN	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	COPA	Homo sapiens (Human)	1224	GO:0000139; GO:0005179; GO:0005198; GO:0005615; GO:0005737; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0016020; GO:0030126; GO:0030133; GO:0030157; GO:0030426; GO:0070062
Q9DCB4	Q9DCB4	reviewed	ARP21_MOUSE	cAMP-regulated phosphoprotein 21 (ARPP-21) (Regulator of calmodulin signaling) (Thymocyte cAMP-regulated phosphoprotein)	Arpp21 Rcs Tarpp	Mus musculus (Mouse)	807	GO:0003676; GO:0005516; GO:0005737; GO:0034605
Q8BI55	Q8BI55	reviewed	DYRK4_MOUSE	Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)	Dyrk4	Mus musculus (Mouse)	632	GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005856; GO:0018105; GO:0018107; GO:0043231; GO:0046872; GO:0106310
Q2YDL5	Q2YDL5	reviewed	FKB11_BOVIN	Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11) (EC 5.2.1.8) (FK506-binding protein 11) (FKBP-11) (Rotamase)	FKBP11	Bos taurus (Bovine)	203	GO:0000413; GO:0003755; GO:0005783; GO:0016020; GO:0061077
Q4QQM4	Q4QQM4	reviewed	P5I11_MOUSE	Tumor protein p53-inducible protein 11 (Transformation related protein 53 inducible protein 11) (p53-induced gene 11 protein)	Trp53i11 Pig11 Tp53i11	Mus musculus (Mouse)	189	GO:0016020
Q0VCQ8	Q0VCQ8	reviewed	P5I11_BOVIN	Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)	TP53I11 PIG11	Bos taurus (Bovine)	189	GO:0016020
Q5BJ68	Q5BJ68	reviewed	NB5R2_XENTR	NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2)	cyb5r2 TNeu132f07.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	304	GO:0001878; GO:0004128; GO:0016020; GO:0016126
Q9LGZ2	Q9LGZ2	reviewed	LCYD1_ORYSJ	Putative L-cysteine desulfhydrase 1 (EC 4.4.1.28) (OsL-CDes1) (L-CDes1)	Os01g0290100 LOC_Os01g18640 P0469E05.28	Oryza sativa subsp. japonica (Rice)	482	GO:0080146
O94431	O94431	reviewed	EGT2_SCHPO	Hercynylcysteine sulfoxide lyase (EC 4.4.1.-) (Ergothioneine biosynthesis protein 2) (PLP-binding cysteine desulfurase) (PLP-dependent C-S lyase)	egt2 SPBC660.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	392	GO:0005634; GO:0005829; GO:0052699; GO:1903257; GO:1990411; GO:1990412
O35015	O35015	reviewed	YNGK_BACSU	Glycosyl hydrolase YngK (EC 3.2.1.-)	yngK yotA BSU18280	Bacillus subtilis (strain 168)	510	GO:0008152; GO:0016798
G5E8P0	G5E8P0	reviewed	GCP6_MOUSE	Gamma-tubulin complex component 6 (GCP-6)	Tubgcp6 Kiaa1669	Mus musculus (Mouse)	1769	GO:0000278; GO:0000922; GO:0000923; GO:0000930; GO:0000931; GO:0005813; GO:0005829; GO:0005874; GO:0007020; GO:0008017; GO:0031122; GO:0043015; GO:0051225; GO:0051321
Q3SZ36	Q3SZ36	reviewed	TMM18_BOVIN	Transmembrane protein 18	TMEM18	Bos taurus (Bovine)	139	GO:0003677; GO:0005737; GO:0016477; GO:0031965; GO:0042755; GO:0097009
Q9CQM5	Q9CQM5	reviewed	TXD17_MOUSE	Thioredoxin domain-containing protein 17 (14 kDa thioredoxin-related protein) (TRP14) (Protein 42-9-9) (Thioredoxin-like protein 5)	Txndc17 Txnl5	Mus musculus (Mouse)	123	GO:0004601; GO:0005829; GO:0033209; GO:0047134
Q9VZW5	Q9VZW5	reviewed	FMAR_DROME	FMRFamide receptor (DFR) (DrmFMRFa-R)	FMRFaR FR CG2114	Drosophila melanogaster (Fruit fly)	549	GO:0001653; GO:0002209; GO:0005886; GO:0007186; GO:0007204; GO:0007218; GO:0007629; GO:0008188; GO:0008344; GO:0008345; GO:0016020; GO:0032226
Q8TAQ2	Q8TAQ2	reviewed	SMRC2_HUMAN	SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)	SMARCC2 BAF170	Homo sapiens (Human)	1214	GO:0000776; GO:0000785; GO:0003713; GO:0005654; GO:0006337; GO:0006338; GO:0006357; GO:0007399; GO:0016363; GO:0016514; GO:0016586; GO:0030071; GO:0032991; GO:0035060; GO:0042393; GO:0045582; GO:0045597; GO:0045663; GO:0045892; GO:0045893; GO:0070316; GO:0071564; GO:0071565; GO:0140092; GO:2000045; GO:2000781; GO:2000819
P35604	P35604	reviewed	COPZ1_BOVIN	Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP)	COPZ1 COPZ	Bos taurus (Bovine)	177	GO:0000139; GO:0006886; GO:0006890; GO:0006891; GO:0030126; GO:1901998
O43248	O43248	reviewed	HXC11_HUMAN	Homeobox protein Hox-C11 (Homeobox protein Hox-3H)	HOXC11 HOX3H	Homo sapiens (Human)	304	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001656; GO:0001759; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0007492; GO:0009952; GO:0009954; GO:0042733; GO:0045944; GO:0048856; GO:0060272; GO:1990837
Q9XW88	Q9XW88	reviewed	PHP3_CAEEL	Homeobox protein php-3 (Posterior Hox protein paralog 3)	php-3 Y75B8A.1	Caenorhabditis elegans	275	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0110039
P34456	P34456	reviewed	YMD2_CAEEL	Uncharacterized protein F54H12.2	F54H12.2	Caenorhabditis elegans	419	GO:0004748; GO:0005829; GO:0009263
Q01622	Q01622	reviewed	HLOX2_HELRO	Homeobox protein LOX2	LOX2	Helobdella robusta (Californian leech)	429	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952
Q8T940	Q8T940	reviewed	UBX_JUNCO	Homeotic protein ultrabithorax (JcUbx)	Ubx	Junonia coenia (Peacock butterfly) (Precis coenia)	253	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006355
Q9TT89	Q9TT89	reviewed	HXB7_BOVIN	Homeobox protein Hox-B7	HOXB7	Bos taurus (Bovine)	217	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952
P20825	P20825	reviewed	POL2_DROME	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	pol	Drosophila melanogaster (Fruit fly)	1059	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
Q9PWD3	Q9PWD3	reviewed	HXA5_MORSA	Homeobox protein Hox-A5	hoxa5	Morone saxatilis (Striped bass) (Perca saxatilis)	281	GO:0000981; GO:0003677; GO:0005634
Q9PWM3	Q9PWM3	reviewed	HXC4A_DANRE	Homeobox protein Hox-C4a (Hox-C4)	hoxc4a hoxc4 si:dkey-81p22.8 zgc:110513	Danio rerio (Zebrafish) (Brachydanio rerio)	268	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0048704
P50901	P50901	reviewed	HOX3_BRAFL	Homeobox protein HOX3		Branchiostoma floridae (Florida lancelet) (Amphioxus)	411	GO:0000981; GO:0003677; GO:0005634
Q9IA20	Q9IA20	reviewed	HXA2_HETFR	Homeobox protein Hox-A2	HOXA2	Heterodontus francisci (Horn shark) (Cestracion francisci)	363	GO:0000981; GO:0003677; GO:0005634
Q1KL10	Q1KL10	reviewed	HXA1A_TAKRU	Homeobox protein Hox-A1a	hoxa1a	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	325	GO:0000981; GO:0005634; GO:0043565
Q8BR93	Q8BR93	reviewed	HARB1_MOUSE	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	Harbi1	Mus musculus (Mouse)	349	GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872
Q0MQI4	Q0MQI4	reviewed	NDUV1_PONPY	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	NDUFV1	Pongo pygmaeus (Bornean orangutan)	464	GO:0005743; GO:0008137; GO:0010181; GO:0045271; GO:0046872; GO:0051287; GO:0051539
Q9BXB4	Q9BXB4	reviewed	OSB11_HUMAN	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	OSBPL11 ORP11 OSBP12	Homo sapiens (Human)	747	GO:0005654; GO:0005794; GO:0005829; GO:0010890; GO:0015248; GO:0016020; GO:0031902; GO:0032934; GO:0043231; GO:0045444
Q5BJ29	Q5BJ29	reviewed	FBXL7_MOUSE	F-box/LRR-repeat protein 7 (F-box and leucine-rich repeat protein 7)	Fbxl7 Kiaa0840	Mus musculus (Mouse)	491	GO:0000086; GO:0000209; GO:0000278; GO:0005737; GO:0005813; GO:0016567; GO:0019005; GO:0031146; GO:0051301
Q91ZS8	Q91ZS8	reviewed	RED1_MOUSE	Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase)	Adarb1 Adar2 Red1	Mus musculus (Mouse)	711	GO:0003723; GO:0003725; GO:0003726; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006382; GO:0006396; GO:0006397; GO:0007274; GO:0008251; GO:0008285; GO:0016553; GO:0016556; GO:0021610; GO:0021618; GO:0021965; GO:0030336; GO:0035264; GO:0042802; GO:0044387; GO:0045070; GO:0045202; GO:0046872; GO:0050685; GO:0050884; GO:0051726; GO:0060384; GO:0060415; GO:0061744; GO:0097049
P27641	P27641	reviewed	XRCC5_MOUSE	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku autoantigen protein p86 homolog) (Ku80) (Nuclear factor IV)	Xrcc5 G22p2	Mus musculus (Mouse)	732	GO:0000723; GO:0000725; GO:0000781; GO:0000976; GO:0002218; GO:0003678; GO:0003684; GO:0003690; GO:0003691; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005886; GO:0006302; GO:0006303; GO:0006974; GO:0007420; GO:0008094; GO:0009410; GO:0016887; GO:0022008; GO:0031625; GO:0032040; GO:0032212; GO:0032991; GO:0032993; GO:0034462; GO:0034511; GO:0042162; GO:0043564; GO:0044877; GO:0045027; GO:0045087; GO:0045860; GO:0045892; GO:0048660; GO:0050769; GO:0051575; GO:0060218; GO:0070418; GO:0070419; GO:0071398; GO:0071425; GO:0071475; GO:0071480; GO:0071481; GO:0090734; GO:1904430; GO:1990830; GO:1990904
Q53G44	Q53G44	reviewed	IF44L_HUMAN	Interferon-induced protein 44-like	IFI44L C1orf29 GS3686	Homo sapiens (Human)	452	GO:0005525; GO:0005737; GO:0006955; GO:0051607
P34416	P34416	reviewed	LASP1_CAEEL	LIM and SH3 domain protein F42H10.3	F42H10.3	Caenorhabditis elegans	335	GO:0005925; GO:0030054; GO:0046872; GO:0051015; GO:0055120
P20929	P20929	reviewed	NEBU_HUMAN	Nebulin	NEB	Homo sapiens (Human)	6669	GO:0005829; GO:0007517; GO:0007525; GO:0008307; GO:0015629; GO:0030018; GO:0030832; GO:0051015; GO:0070062; GO:0071691
A5PF48	A5PF48	reviewed	MYO1C_DANRE	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	myo1c si:ch211-69i14.4	Danio rerio (Zebrafish) (Brachydanio rerio)	1026	GO:0003774; GO:0005524; GO:0005737; GO:0005938; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031410; GO:0031982; GO:0032587; GO:0032835; GO:0051015; GO:0060171
G5EBQ8	G5EBQ8	reviewed	CHS2_CAEEL	Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)	chs-2 F48A11.1	Caenorhabditis elegans	1668	GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944
K7U9N8	K7U9N8	reviewed	OP1_MAIZE	Protein OPAQUE1 (Myosin XI motor protein)	O1 ZEAMMB73_923224 Zm.5032	Zea mays (Maize)	1521	GO:0003774; GO:0005516; GO:0005524; GO:0005737; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015
D3ZQG6	D3ZQG6	reviewed	TRIM2_RAT	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING-type E3 ubiquitin transferase TRIM2)	Trim2	Rattus norvegicus (Rat)	744	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0016567; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630; GO:1990830
A8TX70	A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615	GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023
Q99715	Q99715	reviewed	COCA1_HUMAN	Collagen alpha-1(XII) chain	COL12A1 COL12A1L	Homo sapiens (Human)	3063	GO:0005576; GO:0005595; GO:0005615; GO:0005788; GO:0007155; GO:0030020; GO:0030199; GO:0035987; GO:0062023; GO:0070062; GO:1903561
Q9VCA2	Q9VCA2	reviewed	ORCT_DROME	Organic cation transporter protein	Orct CG6331	Drosophila melanogaster (Fruit fly)	548	GO:0006811; GO:0006915; GO:0016020; GO:0022857
Q6V0I7	Q6V0I7	reviewed	FAT4_HUMAN	Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	FAT4 CDHF14 FATJ Nbla00548	Homo sapiens (Human)	4981	GO:0005509; GO:0005886; GO:0007156; GO:0007157; GO:0021987; GO:0022008; GO:0035329; GO:0070062
Q9VUL9	Q9VUL9	reviewed	FUCTA_DROME	Glycoprotein 3-alpha-L-fucosyltransferase A (EC 2.4.1.214) (Core alpha-(1,3)-fucosyltransferase)	FucTA CG6869	Drosophila melanogaster (Fruit fly)	503	GO:0005797; GO:0006486; GO:0007399; GO:0008417; GO:0018392; GO:0032580; GO:0036065; GO:0036071; GO:0046920
Q66KK8	Q66KK8	reviewed	HEY1_XENTR	Hairy/enhancer-of-split related with YRPW motif protein 1	hey1 TEgg037i08.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	300	GO:0000122; GO:0005634; GO:0007219; GO:0033504; GO:0042803; GO:0043565; GO:0045892; GO:0046982; GO:0048793; GO:0072013; GO:0072082
O93479	O93479	reviewed	ORC4_XENLA	Origin recognition complex subunit 4	orc4 orc4l	Xenopus laevis (African clawed frog)	432	GO:0003677; GO:0005524; GO:0005664; GO:0006260
P20107	P20107	reviewed	ZRC1_YEAST	Vacuolar zinc transporter ZRC1 (Zinc resistance conferring protein 1) (Zinc/cadmium resistance protein ZRC1)	ZRC1 YMR243C YM9408.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	442	GO:0000324; GO:0000329; GO:0005385; GO:0006882; GO:0046686; GO:0071577
B9EJ86	B9EJ86	reviewed	OSBL8_MOUSE	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)	Osbpl8 Kiaa1451 Orp8	Mus musculus (Mouse)	889	GO:0001786; GO:0005783; GO:0005789; GO:0005829; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204; GO:0140343
Q4QR29	Q4QR29	reviewed	CTR9_XENLA	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	ctr9 sh2bp1	Xenopus laevis (African clawed frog)	1157	GO:0000122; GO:0000791; GO:0006368; GO:0016570; GO:0016593; GO:0016607
Q2PZL6	Q2PZL6	reviewed	FAT4_MOUSE	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	GO:0001658; GO:0001736; GO:0001822; GO:0003007; GO:0005509; GO:0005886; GO:0007009; GO:0007156; GO:0007157; GO:0007219; GO:0008543; GO:0021987; GO:0022008; GO:0035329; GO:0043931; GO:0045177; GO:0048565; GO:0060122; GO:0072006; GO:0072137; GO:0072307
Q14517	Q14517	reviewed	FAT1_HUMAN	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT	Homo sapiens (Human)	4588	GO:0002088; GO:0003382; GO:0003412; GO:0005509; GO:0005634; GO:0005886; GO:0005911; GO:0005925; GO:0007015; GO:0007155; GO:0007156; GO:0007163; GO:0007267; GO:0009653; GO:0016324; GO:0016477; GO:0030027; GO:0030175; GO:0048471; GO:0070062; GO:0098609
B6D5P6	B6D5P6	reviewed	DAAF1_PERCA	Dynein axonemal assembly factor 1 (Leucine-rich repeat-containing protein 50)	Dnaaf1 Lrrc50	Peromyscus californicus (California mouse)	622	GO:0005930; GO:0060271; GO:0070840
Q7T385	Q7T385	reviewed	VTC1A_DANRE	V-type proton ATPase subunit C 1-A (V-ATPase subunit C 1-A) (Vacuolar proton pump subunit C 1-A)	atp6v1c1a atp6v1c1 zgc:64034	Danio rerio (Zebrafish) (Brachydanio rerio)	383	GO:0000221; GO:0046961
Q55FM5	Q55FM5	reviewed	MTPN_DICDI	Myotrophin homolog	mtpn DDB_G0268038	Dictyostelium discoideum (Social amoeba)	120	GO:0005634; GO:0005737; GO:0030036; GO:0044877; GO:2000812; GO:2000813
